0-0,-6.93679,-6.73434,25.4378,2.47,-6.92307,-6.85112,25.2329
0-0,-6.92307,-6.85112,25.2329,2.48,-6.92237,-6.98022,25.0412
0-0,-6.92237,-6.98022,25.0412,2.49,-6.9346,-7.12092,24.8642
0-0,-6.9346,-7.12092,24.8642,2.5,-6.95957,-7.27247,24.7031
0-0,-6.95957,-7.27247,24.7031,2.51,-6.99709,-7.4341,24.5593
0-0,-6.99709,-7.4341,24.5593,2.52,-7.04688,-7.605,24.434
0-0,-7.04688,-7.605,24.434,2.53,-7.1086,-7.78427,24.3284
0-0,-7.1086,-7.78427,24.3284,2.54,-7.18187,-7.97097,24.2436
0-0,-7.18187,-7.97097,24.2436,2.55,-7.26626,-8.16405,24.1807
0-0,-7.26626,-8.16405,24.1807,2.56,-7.36125,-8.36233,24.1407
0-0,-7.36125,-8.36233,24.1407,2.57,-7.46627,-8.56453,24.1246
0-0,-7.46627,-8.56453,24.1246,2.58,-7.58067,-8.76923,24.1332
0-0,-7.58067,-8.76923,24.1332,2.59,-7.70372,-8.97484,24.1673
0-0,-7.70372,-8.97484,24.1673,2.6,-7.83461,-9.17965,24.2273
0-0,-7.83461,-9.17965,24.2273,2.61,-7.97241,-9.38175,24.3136
0-0,-7.97241,-9.38175,24.3136,2.62,-8.11612,-9.57909,24.4265
0-0,-8.11612,-9.57909,24.4265,2.63,-8.26461,-9.76947,24.5657
0-0,-8.26461,-9.76947,24.5657,2.64,-8.41666,-9.95057,24.7309
0-0,-8.41666,-9.95057,24.7309,2.65,-8.57093,-10.1199,24.9214
0-0,-8.57093,-10.1199,24.9214,2.66,-8.72596,-10.275,25.1361
0-0,-8.72596,-10.275,25.1361,2.67,-8.88021,-10.4134,25.3735
0-0,-8.88021,-10.4134,25.3735,2.68,-9.03204,-10.5324,25.6316
0-0,-9.03204,-10.5324,25.6316,2.69,-9.17971,-10.6298,25.9082
0-0,-9.17971,-10.6298,25.9082,2.7,-9.32145,-10.7032,26.2004
0-0,-9.32145,-10.7032,26.2004,2.71,-9.45545,-10.7506,26.5051
0-0,-9.45545,-10.7506,26.5051,2.72,-9.57988,-10.7704,26.8186
0-0,-9.57988,-10.7704,26.8186,2.73,-9.69296,-10.7612,27.1369
0-0,-9.69296,-10.7612,27.1369,2.74,-9.79297,-10.7223,27.456
0-0,-9.79297,-10.7223,27.456,2.75,-9.8783,-10.6533,27.7712
0-0,-9.8783,-10.6533,27.7712,2.76,-9.94751,-10.5546,28.078
0-0,-9.94751,-10.5546,28.078,2.77,-9.99934,-10.4271,28.372
0-0,-9.99934,-10.4271,28.372,2.78,-10.0328,-10.2723,28.6487
0-0,-10.0328,-10.2723,28.6487,2.79,-10.047,-10.0923,28.9039
0-0,-10.047,-10.0923,28.9039,2.8,-10.0417,-9.88976,29.1339
0-0,-10.0417,-9.88976,29.1339,2.81,-10.0167,-9.66787,29.3353
0-0,-10.0167,-9.66787,29.3353,2.82,-9.97208,-9.43013,29.5053
0-0,-9.97208,-9.43013,29.5053,2.83,-9.9085,-9.18034,29.6419
0-0,-9.9085,-9.18034,29.6419,2.84,-9.82678,-8.92249,29.7433
0-0,-9.82678,-8.92249,29.7433,2.85,-9.72808,-8.6606,29.809
0-0,-9.72808,-8.6606,29.809,2.86,-9.61381,-8.39862,29.8386
0-0,-9.61381,-8.39862,29.8386,2.87,-9.48563,-8.14033,29.8327
0-0,-9.48563,-8.14033,29.8327,2.88,-9.34539,-7.88925,29.7923
0-0,-9.34539,-7.88925,29.7923,2.89,-9.19508,-7.64856,29.7189
0-0,-9.19508,-7.64856,29.7189,2.9,-9.03679,-7.42103,29.6146
0-0,-9.03679,-7.42103,29.6146,2.91,-8.87264,-7.20904,29.4815
0-0,-8.87264,-7.20904,29.4815,2.92,-8.70478,-7.01452,29.3224
0-0,-8.70478,-7.01452,29.3224,2.93,-8.53528,-6.83896,29.1398
0-0,-8.53528,-6.83896,29.1398,2.94,-8.36617,-6.68347,28.9366
0-0,-8.36617,-6.68347,28.9366,2.95,-8.19936,-6.54875,28.7158
0-0,-8.19936,-6.54875,28.7158,2.96,-8.03662,-6.43519,28.48
0-0,-8.03662,-6.43519,28.48,2.97,-7.87959,-6.34288,28.2321
0-0,-7.87959,-6.34288,28.2321,2.98,-7.72974,-6.27167,27.9747
0-0,-7.72974,-6.27167,27.9747,2.99,-7.58838,-6.22121,27.7105
0-0,-7.58838,-6.22121,27.7105,3,-7.45666,-6.191,27.4418
0-0,-7.45666,-6.191,27.4418,3.01,-7.33555,-6.18042,27.171
0-0,-7.33555,-6.18042,27.171,3.02,-7.22588,-6.18878,26.9001
